Ticker 1,Ticker 2,P-Value
ADSK,FSLR,0.0115
ADSK,HBAN,0.0016
ADSK,HST,0.0458
ADSK,KEY,0.0338
ADSK,KMB,0.0463
ADSK,MMC,0.0353
ADSK,MPC,0.0466
ADSK,MTB,0.0295
ADSK,PNC,0.0435
ADSK,SRE,0.0225
ADSK,USB,0.0374
ADSK,VLO,0.0450
ADSK,VMC,0.0141
AEE,AEP,0.0139
AEE,AKAM,0.0248
AEE,AVB,0.0129
AEE,AVY,0.0027
AEE,AZO,0.0367
AEE,CMCSA,0.0106
AEE,CMG,0.0092
AEE,DHR,0.0360
AEE,DOW,0.0435
AEE,EQR,0.0447
AEE,FIS,0.0171
AEE,FMC,0.0084
AEE,GILD,0.0084
AEE,GWW,0.0420
AEE,IFF,0.0058
AEE,ORLY,0.0290
AEE,PPL,0.0334
AEE,PRU,0.0256
AEE,RHI,0.0426
AEE,STZ,0.0151
AEE,TDC,0.0203
AEE,TGT,0.0489
AEE,UPS,0.0308
AEE,XRAY,0.0070
AEE,XRX,0.0326
AEP,AVB,0.0070
AEP,CAG,0.0488
AEP,CMG,0.0090
AEP,DUK,0.0491
AEP,GILD,0.0315
AEP,ORLY,0.0193
AEP,PPL,0.0493
AEP,RHI,0.0109
AEP,UPS,0.0170
AEP,VTR,0.0285
AES,AIG,0.0483
AES,AIV,0.0102
AES,AIZ,0.0194
AES,ALL,0.0322
AES,AMAT,0.0354
AES,BBBY,0.0292
AES,BLK,0.0307
AES,BXP,0.0039
AES,CHRW,0.0376
AES,CLF,0.0365
AES,CMA,0.0267
AES,CNX,0.0082
AES,COST,0.0118
AES,CSX,0.0198
AES,CTSH,0.0142
AES,D,0.0337
AES,DD,0.0449
AES,DE,0.0486
AES,DELL,0.0202
AES,DHI,0.0065
AES,DRI,0.0418
AES,DVN,0.0254
AES,EA,0.0448
AES,ETN,0.0018
AES,EXC,0.0353
AES,EXPD,0.0488
AES,F,0.0378
AES,FCX,0.0151
AES,FE,0.0328
AES,FITB,0.0262
AES,FLR,0.0075
AES,GD,0.0358
AES,GME,0.0449
AES,GNW,0.0498
AES,GT,0.0138
AES,HD,0.0480
AES,HST,0.0465
AES,HSY,0.0181
AES,INTC,0.0143
AES,ISRG,0.0219
AES,ITW,0.0068
AES,IVZ,0.0433
AES,K,0.0243
AES,KEY,0.0352
AES,KIM,0.0223
AES,KSS,0.0272
AES,L,0.0476
AES,LOW,0.0230
AES,LUV,0.0052
AES,M,0.0114
AES,MCD,0.0218
AES,MCHP,0.0206
AES,MMC,0.0091
AES,MMM,0.0297
AES,MSI,0.0196
AES,MTB,0.0484
AES,NEE,0.0030
AES,NOC,0.0159
AES,NRG,0.0361
AES,NSC,0.0325
AES,NU,0.0087
AES,NUE,0.0170
AES,NVDA,0.0361
AES,NWSA,0.0382
AES,PAYX,0.0067
AES,PEG,0.0225
AES,PGR,0.0054
AES,PHM,0.0051
AES,PNC,0.0421
AES,PNW,0.0176
AES,PSX,0.0203
AES,QCOM,0.0250
AES,RF,0.0277
AES,ROP,0.0130
AES,RRC,0.0193
AES,SRE,0.0280
AES,STI,0.0253
AES,SUN,0.0017
AES,SYK,0.0416
AES,SYY,0.0079
AES,TAP,0.0151
AES,TE,0.0357
AES,TROW,0.0391
AES,TRV,0.0479
AES,TXN,0.0135
AES,TXT,0.0083
AES,UNM,0.0233
AES,USB,0.0258
AES,VNO,0.0066
AES,WAT,0.0102
AES,XOM,0.0436
AES,YUM,0.0256
AFL,AIV,0.0214
AFL,AMAT,0.0493
AFL,AMD,0.0455
AFL,AMP,0.0302
AFL,AMZN,0.0181
AFL,AN,0.0480
AFL,APA,0.0303
AFL,ATI,0.0396
AFL,AXP,0.0431
AFL,BA,0.0350
AFL,BAC,0.0500
AFL,BBBY,0.0417
AFL,BEAM,0.0500
AFL,BEN,0.0449
AFL,BIIB,0.0431
AFL,BLK,0.0495
AFL,BSX,0.0205
AFL,BTU,0.0189
AFL,BWA,0.0389
AFL,BXP,0.0375
AFL,CA,0.0079
AFL,CAH,0.0400
AFL,CAT,0.0433
AFL,CCL,0.0461
AFL,CF,0.0245
AFL,CHRW,0.0232
AFL,CI,0.0405
AFL,CLF,0.0188
AFL,CMA,0.0488
AFL,CME,0.0376
AFL,CMG,0.0438
AFL,CMI,0.0441
AFL,CNP,0.0494
AFL,COF,0.0376
AFL,COP,0.0394
AFL,COST,0.0107
AFL,CRM,0.0413
AFL,CSCO,0.0366
AFL,CTAS,0.0477
AFL,CTSH,0.0216
AFL,CVS,0.0248
AFL,CVX,0.0379
AFL,DE,0.0299
AFL,DELL,0.0470
AFL,DGX,0.0496
AFL,DHI,0.0110
AFL,DIS,0.0249
AFL,DLTR,0.0375
AFL,DRI,0.0170
AFL,DUK,0.0473
AFL,DV,0.0381
AFL,DVN,0.0115
AFL,EA,0.0262
AFL,EMC,0.0487
AFL,EMR,0.0289
AFL,EQT,0.0198
AFL,ETN,0.0496
AFL,EW,0.0191
AFL,EXPD,0.0131
AFL,EXPE,0.0492
AFL,F,0.0443
AFL,FAST,0.0485
AFL,FE,0.0378
AFL,FFIV,0.0450
AFL,FHN,0.0373
AFL,FLR,0.0415
AFL,FLS,0.0485
AFL,FOSL,0.0473
AFL,FSLR,0.0374
AFL,GD,0.0411
AFL,GILD,0.0460
AFL,GLW,0.0400
AFL,GME,0.0337
AFL,GNW,0.0470
AFL,GOOG,0.0495
AFL,GPC,0.0433
AFL,GT,0.0185
AFL,HAL,0.0463
AFL,HAS,0.0490
AFL,HBAN,0.0489
AFL,HD,0.0395
AFL,HOG,0.0302
AFL,HON,0.0127
AFL,HP,0.0467
AFL,HPQ,0.0465
AFL,HRL,0.0180
AFL,HSY,0.0295
AFL,HUM,0.0339
AFL,IBM,0.0421
AFL,ICE,0.0407
AFL,INTC,0.0055
AFL,INTU,0.0194
AFL,IP,0.0430
AFL,IPG,0.0340
AFL,ISRG,0.0108
AFL,IVZ,0.0437
AFL,JBL,0.0492
AFL,JCI,0.0473
AFL,JNJ,0.0275
AFL,KEY,0.0497
AFL,KMI,0.0229
AFL,KMX,0.0467
AFL,KR,0.0290
AFL,KSS,0.0209
AFL,LEN,0.0245
AFL,LMT,0.0191
AFL,LNC,0.0442
AFL,LOW,0.0248
AFL,LRCX,0.0498
AFL,LUV,0.0306
AFL,M,0.0261
AFL,MA,0.0323
AFL,MAR,0.0287
AFL,MAS,0.0484
AFL,MAT,0.0439
AFL,MCO,0.0307
AFL,MDT,0.0488
AFL,MMM,0.0442
AFL,MNST,0.0491
AFL,MOS,0.0422
AFL,MPC,0.0437
AFL,MSFT,0.0474
AFL,MSI,0.0353
AFL,MU,0.0341
AFL,MUR,0.0401
AFL,NBR,0.0471
AFL,NDAQ,0.0363
AFL,NEE,0.0375
AFL,NEM,0.0350
AFL,NFLX,0.0417
AFL,NI,0.0475
