Ticker 1,Ticker 2,Cointegration P-Value,Hedge Ratio
ADM,MA,0.0151,-0.1709549165673852
ADM,MAR,0.0257,-0.25160130209253345
ADM,META,0.0292,-0.06446321450392939
ADM,MRK,0.047,-0.7414347745004953
ADM,MSFT,0.0192,-0.12529792320988842
ADM,NOW,0.0331,-0.05694184498314313
ADM,ORLY,0.0219,-1.1472462131605907
ADM,OTIS,0.0241,-0.9277398480191438
ADM,PANW,0.0326,-0.26229859553427554
ADM,PH,0.049,-0.08346312360759114
ADM,PTC,0.0171,-0.357580619193146
ADM,RL,0.0463,-0.28193898989529037
ADM,ROP,0.0248,-0.14955507025330717
ADM,SNA,0.0295,-0.3265314467957767
ADM,SYK,0.0014,-0.21242885705596384
ADM,TEL,0.0439,-0.6058779505770286
ADM,UBER,0.0217,-0.5039605543807508
ADM,V,0.0013,-0.3198165617888318
ADP,BXP,0.0478,1.7340178188337623
ADP,LW,0.0332,-0.8716729992678638
ADSK,AIZ,0.0106,0.756093661486223
ADSK,ALL,0.0317,0.6823690200824875
ADSK,ALLE,0.0266,1.5485230236972716
ADSK,AMP,0.0447,0.347616513719125
ADSK,APTV,0.0255,-0.9693692490514346
ADSK,AZO,0.0496,0.06648398636488562
ADSK,BIIB,0.0196,-0.4872719414439892
ADSK,BLK,0.0345,0.22686866716348456
ADSK,CB,0.0356,0.5932528735011574
ADSK,COF,0.034,0.959756509947501
ADSK,CTSH,0.0112,2.9796595718199086
ADSK,DHI,0.0344,0.5950830666770229
ADSK,DLR,0.048,0.8735426586722895
ADSK,EFX,0.0452,0.5463787302203476
ADSK,ERIE,0.017,0.2187993092336269
ADSK,FFIV,0.0023,1.0114813293362055
ADSK,FI,0.0395,0.8536373851547857
ADSK,HD,0.0034,0.6282298092413549
ADSK,HIG,0.0387,1.1701267140722609
ADSK,HII,0.0194,0.6923969650682334
ADSK,IBM,0.0304,0.7439013566766007
ADSK,ICE,0.0268,1.0231204654017212
ADSK,IT,0.0155,0.30353277240171467
ADSK,L,0.0409,2.168900572126615
ADSK,MAS,0.0105,1.8314012805396993
ADSK,NOW,0.0349,0.12744280274050906
ADSK,ORLY,0.0359,2.4954976135523737
ADSK,RSG,0.0456,0.6807845111771291
ADSK,SHW,0.0161,0.42373189793092586
ADSK,TRV,0.0255,0.7800976753160827
ADSK,UNP,0.0228,0.9224733783318221
ADSK,VZ,0.0241,4.996903410093924
AEE,CHRW,0.0229,0.4573552491578392
AEP,DGX,0.0057,0.702610489320325
AEP,FE,0.0081,2.7793197972232737
AEP,LMT,0.0167,0.15886642443788707
AEP,RTX,0.0039,0.5639793825537308
AEP,SRE,0.0297,1.6766965719398783
AEP,ZBRA,0.033,0.15719919010132233
AES,JBL,0.0462,-0.12211192286273134
AES,ODFL,0.0139,-0.11101572022841767
AFL,AVB,0.0343,0.5979901794925065
AFL,ESS,0.0179,0.3821835049300804
AFL,FFIV,0.0447,0.5407318543852335
AFL,IRM,0.0325,0.6367905329491731
AFL,LKQ,0.009,-2.0304452514674756
AFL,PAYX,0.0101,1.4363593610449183
AFL,WELL,0.0096,0.7172490880967606
AIG,APTV,0.0052,-0.4624133609952678
AIG,AVY,0.0014,0.4234833806453412
AIG,BIIB,0.0208,-0.22636326458138079
AIG,CI,0.0385,0.23987589001586584
AIG,COIN,0.0256,0.11211951777906404
AIG,DLR,0.044,0.38028780549939073
AIG,DPZ,0.0346,0.12610954980561362
AIG,EMR,0.0499,0.7538065979277566
AIG,GNRC,0.0143,0.22186814334171087
AIG,HUM,0.0143,-0.10783500029761522
AIG,LKQ,0.0205,-1.2563972234133047
AIG,NKE,0.0386,-0.38801633666859436
AIG,NWSA,0.0445,2.1814257541772064
AIG,TXT,0.0431,0.8882525269463197
AIG,UPS,0.0194,-0.4534675095323613
AIG,VRSN,0.0109,-0.3744438210390651
AIG,WBD,0.0018,-3.1506925555637957
AIG,WDC,0.0193,0.7730470433901763
AIG,WFC,0.0427,1.1093951555007797
AIZ,APTV,0.0097,-1.4695418639646638
AIZ,BIIB,0.009,-0.6767163662906884
AIZ,BRK-B,0.0267,0.4366400597120036
AIZ,BX,0.0181,1.079385452437576
AIZ,CBOE,0.0103,0.8165341869393743
AIZ,DASH,0.0282,0.7848892318352795
AIZ,DLR,0.0353,1.0359797795104013
AIZ,FFIV,0.0163,1.1193821945518239
AIZ,IBM,0.0371,0.8327342930056854
AIZ,IT,0.0051,0.3415205853503804
AIZ,J,0.0152,2.1016943887565325
AIZ,L,0.0089,2.653669489548797
AIZ,MA,0.0379,0.41732970590031504
AIZ,NOW,0.0247,0.14525350220666852
AIZ,NWS,0.0458,5.35210675098127
AIZ,PH,0.0252,0.2179512988700597
AIZ,PKG,0.035,0.8250478797421875
AIZ,UPS,0.018,-1.4399531909466234
AJG,APTV,0.0085,-1.7207101047262678
AJG,AVGO,0.0467,0.7684889729888084
AJG,BRO,0.036,2.1528910504752132
AJG,DLR,0.0418,1.3598660280006256
AJG,DLTR,0.0482,-1.1983777419220565
AJG,ESS,0.0454,0.9319548193986582
AJG,GNRC,0.0268,0.8174539101100692
AJG,INVH,0.0173,12.194591207577506
AJG,LII,0.0081,0.2672103449594013
AJG,LKQ,0.0056,-5.062932658547814
AJG,LLY,0.032,0.15017903840137173
AJG,MOS,0.0291,-3.9583749509814097
AJG,NKE,0.0497,-1.5178971833745942
AJG,PLTR,0.0072,3.819627273976084
AJG,PSKY,0.042,-7.364973139193763
AJG,TJX,0.0337,2.221126950792177
AJG,TTD,0.0176,1.6385362989592231
AJG,TYL,0.0191,0.39508457109157286
AJG,UPS,0.0076,-1.7867259076698043
AJG,WELL,0.0415,1.8376085533369817
AKAM,FDS,0.0316,0.41348268831532253
AKAM,MOH,0.0281,0.25500093908893084
ALB,AMZN,0.0225,-1.5348297304871574
ALB,AOS,0.0408,-4.96735457767616
ALB,APTV,0.0348,3.4841905789531404
ALB,BKNG,0.0275,-0.08388596788753074
ALB,BR,0.0259,-2.0143931414700758
ALB,BX,0.0298,-2.4046587598311455
ALB,CBOE,0.0308,-2.025385050603267
ALB,CME,0.0423,-2.941592285385435
ALB,GOOG,0.0472,-1.8872411441028027
ALB,GOOGL,0.0499,-1.9095288702592694
ALB,GPC,0.0395,3.9274869446101213
ALB,GWW,0.0312,-0.34882034793008476
ALB,HRL,0.0287,11.914162324317415
ALB,INTU,0.0051,-0.5487742265200476
ALB,INVH,0.0495,-19.515976024824415
ALB,LIN,0.0247,-1.0421865733106457
ALB,LKQ,0.0455,9.706307040856824
ALB,LYB,0.0453,-6.6727201884435186
ALB,MMC,0.0322,-2.6692810266684015
ALB,MSFT,0.0312,-0.7833986788667648
ALB,NOW,0.0324,-0.35670010112088163
ALB,PANW,0.0054,-1.6375749692713752
ALB,PAYC,0.0256,0.8535910657570016
ALB,ROP,0.0032,-1.014515241883155
ALB,V,0.0424,-1.9368417586614104
ALL,CB,0.0089,0.8192826342759237
ALL,DHR,0.0481,1.0460082313382169
