Ticker 1,Ticker 2,P-Value
AMZN,DELL,0.0399
AMZN,ETN,0.0070
AMZN,FLS,0.0063
AMZN,FTI,0.0319
AMZN,GWW,0.0131
AMZN,IR,0.0012
AMZN,KLAC,0.0294
AMZN,L,0.0170
AMZN,LLY,0.0255
AMZN,LRCX,0.0381
AMZN,MA,0.0305
AMZN,MAR,0.0087
AMZN,MCK,0.0180
AMZN,MMC,0.0485
AMZN,MOS,0.0455
AMZN,MSFT,0.0278
AMZN,NFLX,0.0312
AMZN,NU,0.0318
AMZN,NWSA,0.0449
AMZN,ORLY,0.0127
AMZN,PH,0.0494
AMZN,PHM,0.0380
AMZN,ROP,0.0180
AMZN,RSG,0.0150
AMZN,URBN,0.0064
AMZN,V,0.0151
AN,APA,0.0134
AN,ATI,0.0268
AN,AVB,0.0086
AN,CVS,0.0365
AN,DVA,0.0255
AN,EQR,0.0153
AN,FDX,0.0273
AN,FLS,0.0468
AN,HUM,0.0343
AN,MOS,0.0190
AN,NBR,0.0218
AN,NU,0.0427
AN,ORCL,0.0118
AN,PCG,0.0172
AN,PG,0.0300
AN,PWR,0.0236
AN,TEL,0.0348
AN,THC,0.0395
AN,UNM,0.0328
ANF,AVY,0.0313
ANF,AZO,0.0475
ANF,DELL,0.0458
ANF,JPM,0.0297
ANF,KLAC,0.0252
ANF,L,0.0101
ANF,LEG,0.0099
ANF,MCK,0.0036
ANF,NWSA,0.0016
ANF,STX,0.0480
ANF,TEL,0.0464
ANF,WDC,0.0233
ANF,WHR,0.0190
ANF,WM,0.0335
AON,CSCO,0.0329
AON,CVX,0.0238
AON,DVN,0.0371
AON,M,0.0174
AON,MUR,0.0462
AON,OXY,0.0087
APA,ATI,0.0146
APA,AXP,0.0092
APA,AZO,0.0225
APA,BK,0.0302
APA,BLK,0.0352
APA,BSX,0.0041
APA,C,0.0320
APA,CL,0.0391
APA,CMG,0.0232
APA,COF,0.0375
APA,COST,0.0460
APA,CTAS,0.0212
APA,DHI,0.0077
APA,DOV,0.0082
APA,DVA,0.0179
APA,ECL,0.0077
APA,EFX,0.0082
APA,EIX,0.0124
APA,EMN,0.0265
APA,EXPD,0.0275
APA,FAST,0.0380
APA,FLS,0.0143
APA,GE,0.0134
APA,GNW,0.0219
APA,GWW,0.0039
APA,HIG,0.0426
APA,HPQ,0.0453
APA,ICE,0.0218
APA,IR,0.0214
APA,ISRG,0.0046
APA,ITW,0.0282
APA,JPM,0.0207
APA,KLAC,0.0334
APA,L,0.0303
APA,LEN,0.0036
APA,MA,0.0111
APA,MAS,0.0207
APA,MCO,0.0087
APA,MMC,0.0468
APA,MSFT,0.0173
APA,MSI,0.0055
APA,NFLX,0.0163
APA,NU,0.0317
APA,NVDA,0.0430
APA,OKE,0.0253
APA,OMC,0.0003
APA,ORCL,0.0228
APA,ORLY,0.0123
APA,PCG,0.0009
APA,PG,0.0197
APA,PGR,0.0283
APA,PH,0.0166
APA,PHM,0.0101
APA,PWR,0.0200
APA,RL,0.0095
APA,ROP,0.0478
APA,RSG,0.0423
APA,SNA,0.0202
APA,SO,0.0445
APA,SPG,0.0259
APA,STX,0.0170
APA,SYK,0.0004
APA,TEL,0.0065
APA,THC,0.0203
APA,TJX,0.0414
APA,TRV,0.0365
APA,V,0.0114
APA,VZ,0.0478
APA,YUM,0.0195
APD,CHRW,0.0275
APD,CLF,0.0417
APD,CRM,0.0268
APD,CSX,0.0422
APD,DIS,0.0095
APD,EXC,0.0088
APD,FAST,0.0491
APD,HST,0.0074
APD,INTC,0.0452
APD,MPC,0.0350
APD,MRK,0.0417
APD,NUE,0.0185
APD,PCAR,0.0283
APD,PSX,0.0203
APD,PX,0.0120
APD,S,0.0308
APD,SUN,0.0329
APD,TRIP,0.0106
APD,URBN,0.0475
APD,VLO,0.0367
APD,WEC,0.0262
APD,XEL,0.0255
APH,COST,0.0138
APH,LEG,0.0028
APH,NRG,0.0232
APH,NTAP,0.0318
APH,STI,0.0295
ATI,AVB,0.0038
ATI,DVA,0.0246
ATI,EIX,0.0482
ATI,EQR,0.0246
ATI,GE,0.0169
ATI,NVDA,0.0488
ATI,PCG,0.0168
ATI,PG,0.0465
ATI,PWR,0.0396
ATI,SO,0.0343
ATI,THC,0.0104
AVB,DVA,0.0197
AVB,EBAY,0.0375
AVB,EIX,0.0152
AVB,GCI,0.0207
AVB,HPQ,0.0152
AVB,IRM,0.0127
AVB,ISRG,0.0182
AVB,MCO,0.0481
AVB,MO,0.0459
AVB,MSI,0.0143
AVB,ORCL,0.0053
AVB,PCG,0.0011
AVB,PEG,0.0358
AVB,THC,0.0014
AVB,TJX,0.0484
AVB,UNM,0.0201
AVB,WMT,0.0067
AVY,BIIB,0.0088
AVY,C,0.0365
AVY,CAT,0.0360
AVY,CI,0.0461
AVY,COF,0.0339
AVY,DELL,0.0142
AVY,DHR,0.0148
AVY,EMR,0.0293
AVY,GD,0.0011
AVY,HIG,0.0385
AVY,HRB,0.0352
AVY,HUM,0.0028
AVY,L,0.0252
AVY,MCK,0.0364
AVY,NTAP,0.0334
AVY,NWSA,0.0295
AVY,PRU,0.0175
AVY,QCOM,0.0033
AVY,RL,0.0086
AVY,SPG,0.0385
AVY,STI,0.0034
AVY,STX,0.0360
AVY,TXT,0.0216
AVY,UPS,0.0332
AVY,VZ,0.0474
AVY,WDC,0.0012
AVY,WFC,0.0024
AXP,AZO,0.0244
AXP,CL,0.0426
AXP,CMI,0.0182
AXP,DOV,0.0294
AXP,DVA,0.0203
AXP,EMN,0.0169
AXP,HIG,0.0255
AXP,HUM,0.0073
AXP,RL,0.0337
AZO,BIIB,0.0008
AZO,BK,0.0080
AZO,BSX,0.0014
AZO,CAT,0.0085
AZO,CB,0.0279
AZO,CL,0.0262
AZO,CMI,0.0368
AZO,COST,0.0019
AZO,CTAS,0.0238
AZO,DHR,0.0452
AZO,DOV,0.0334
AZO,DVA,0.0017
AZO,ECL,0.0268
AZO,ETN,0.0095
AZO,FFIV,0.0314
AZO,FLS,0.0086
AZO,GE,0.0008
AZO,HIG,0.0090
AZO,HRB,0.0244
AZO,HUM,0.0035
AZO,IBM,0.0018
AZO,ICE,0.0008
AZO,IR,0.0457
AZO,IRM,0.0410
AZO,JPM,0.0178
AZO,KLAC,0.0038
AZO,KR,0.0090
AZO,L,0.0455
AZO,LEG,0.0321
AZO,LEN,0.0357
AZO,LLY,0.0019
AZO,MAS,0.0166
AZO,MSI,0.0419
AZO,MU,0.0416
AZO,NFLX,0.0339
AZO,NRG,0.0163
AZO,NTAP,0.0377
AZO,NU,0.0015
AZO,NVDA,0.0033
AZO,OI,0.0479
AZO,OKE,0.0014
AZO,PGR,0.0001
AZO,PH,0.0434
AZO,PRGO,0.0433
AZO,QCOM,0.0192
AZO,R,0.0494
AZO,RL,0.0273
AZO,RSG,0.0049
AZO,SHW,0.0377
AZO,SLM,0.0119
AZO,SPG,0.0365
AZO,STI,0.0000
AZO,STX,0.0057
AZO,THC,0.0456
AZO,TRV,0.0279
AZO,UPS,0.0257
AZO,VRSN,0.0429
AZO,VZ,0.0290
AZO,WDC,0.0094
AZO,WHR,0.0250
AZO,WM,0.0011
BA,BAC,0.0330
BA,CB,0.0292
BA,CI,0.0135
BA,CINF,0.0260
BA,CL,0.0369
BA,CMI,0.0166
BA,CNX,0.0374
BA,DHR,0.0486
BA,DV,0.0336
BA,EBAY,0.0269
BA,EOG,0.0330
BA,ETR,0.0157
BA,FIS,0.0394
BA,FITB,0.0486
BA,GD,0.0193
BA,GLW,0.0383
BA,GS,0.0372
BA,HIG,0.0300
BA,IRM,0.0492
BA,KMI,0.0249
BA,KR,0.0297
BA,LMT,0.0189
BA,MET,0.0190
BA,MMM,0.0235
BA,MO,0.0162
BA,NDAQ,0.0136
BA,NOC,0.0138
BA,NRG,0.0323
BA,OKE,0.0473
BA,PEG,0.0425
BA,PGR,0.0328
BA,PNC,0.0447
BA,PRU,0.0375
BA,T,0.0241
BA,TRV,0.0318
BA,WMB,0.0412
BA,WMT,0.0308
BA,XOM,0.0065
BAC,DHR,0.0447
BAC,FIS,0.0002
BAC,MTB,0.0162
BAC,VRSN,0.0257
BAX,BMY,0.0432
BAX,CVX,0.0399
BAX,GPC,0.0110
BAX,HOG,0.0403
BAX,JNJ,0.0406
BAX,LUV,0.0014
BBBY,XRX,0.0395
BBY,CMS,0.0049
BBY,DTE,0.0036
BBY,DUK,0.0294
BBY,EBAY,0.0240
BBY,EQR,0.0133
BBY,FE,0.0136
BBY,GCI,0.0483
BBY,GLW,0.0124
BBY,KO,0.0385
BBY,MMM,0.0329
BBY,MS,0.0423
BBY,NI,0.0149
BBY,PBI,0.0277
BBY,PM,0.0189
BBY,PPL,0.0329
BBY,PSA,0.0120
BBY,SRE,0.0369
BBY,TXN,0.0142
BBY,VTR,0.0206
BDX,C,0.0305
BDX,CB,0.0441
BDX,CI,0.0378
BDX,CINF,0.0498
BDX,COF,0.0494
BDX,DHR,0.0480
BDX,DIS,0.0252
BDX,FIS,0.0349
BDX,FITB,0.0185
BDX,FLR,0.0495
BDX,GD,0.0232
BDX,GS,0.0399
BDX,HBAN,0.0161
BDX,HST,0.0302
BDX,IFF,0.0394
BDX,LNC,0.0261
BDX,M,0.0106
BDX,MAT,0.0132
BDX,MET,0.0303
BDX,NOC,0.0341
BDX,NSC,0.0412
BDX,NTRS,0.0197
BDX,PFG,0.0350
BDX,PNC,0.0186
BDX,PRU,0.0355
BDX,PX,0.0216
BDX,QCOM,0.0373
BDX,SCHW,0.0487
BDX,SLM,0.0391
BDX,STT,0.0411
BDX,SYY,0.0105
BDX,TGT,0.0124
BDX,TRV,0.0263
BDX,TSN,0.0463
BDX,USB,0.0310
BDX,VZ,0.0219
BDX,WAT,0.0284
BDX,WFC,0.0341
BDX,XYL,0.0397
BDX,ZION,0.0266
BEAM,BMY,0.0457
BEAM,CMCSA,0.0378
BEAM,CME,0.0311
BEAM,CSCO,0.0264
BEAM,CVS,0.0120
BEAM,CVX,0.0418
BEAM,DVN,0.0235
BEAM,EXPD,0.0491
BEAM,FDX,0.0065
BEAM,FMC,0.0383
BEAM,GNW,0.0385
BEAM,GOOG,0.0287
BEAM,GPC,0.0065
BEAM,HOG,0.0331
BEAM,HRL,0.0334
BEAM,LUV,0.0164
BEAM,NBR,0.0206
BEAM,SEE,0.0122
BEN,CLF,0.0266
BEN,CNX,0.0436
BEN,LMT,0.0441
BEN,MO,0.0365
BEN,UNH,0.0377
BEN,XRX,0.0328
BIIB,CAT,0.0171
BIIB,CB,0.0378
BIIB,CTAS,0.0464
BIIB,ETN,0.0476
BIIB,FFIV,0.0103
BIIB,FLR,0.0160
BIIB,FLS,0.0416
BIIB,FTI,0.0252
BIIB,GD,0.0375
BIIB,GWW,0.0425
BIIB,IBM,0.0311
BIIB,INTU,0.0274
BIIB,IR,0.0355
BIIB,JPM,0.0498
BIIB,L,0.0036
BIIB,MA,0.0358
BIIB,MAS,0.0314
BIIB,MMC,0.0466
BIIB,MPC,0.0242
BIIB,OKE,0.0174
BIIB,PAYX,0.0215
BIIB,PGR,0.0347
BIIB,PH,0.0084
BIIB,R,0.0090
BIIB,SHW,0.0432
BIIB,SPG,0.0388
BIIB,STX,0.0374
BIIB,TXT,0.0023
BIIB,UNP,0.0376
BIIB,WMB,0.0291
BK,CINF,0.0447
BK,DHR,0.0329
BK,OKE,0.0397
BK,PBI,0.0452
BK,SPG,0.0424
BK,VZ,0.0263
BLK,BXP,0.0244
BLK,CINF,0.0322
BLK,CNX,0.0287
BLK,DHR,0.0244
BLK,DTE,0.0206
BLK,FFIV,0.0197
BLK,HD,0.0166
BLK,IBM,0.0243
BLK,NRG,0.0145
BLK,PAYX,0.0165
BLK,SHW,0.0500
BLK,SPG,0.0133
BLK,VNO,0.0151
BLK,VZ,0.0133
BMY,GOOG,0.0312
BMY,INTU,0.0470
BMY,ROP,0.0131
BMY,TE,0.0267
BMY,URBN,0.0088
BSX,COST,0.0398
BSX,CTAS,0.0410
BSX,DOV,0.0182
BSX,DVA,0.0055
BSX,ECL,0.0037
BSX,GE,0.0215
BSX,HUM,0.0318
BSX,JPM,0.0360
BSX,NFLX,0.0432
BSX,NVDA,0.0250
BSX,PG,0.0453
BSX,THC,0.0423
BTU,FSLR,0.0436
BWA,C,0.0464
BWA,CB,0.0118
BWA,COF,0.0356
BWA,COP,0.0301
BWA,COST,0.0411
BWA,CSX,0.0395
BWA,CTAS,0.0432
BWA,DELL,0.0439
BWA,EA,0.0110
BWA,EXC,0.0434
BWA,EXPE,0.0443
BWA,FAST,0.0369
BWA,FFIV,0.0374
BWA,FITB,0.0434
BWA,GD,0.0044
BWA,GS,0.0399
BWA,HD,0.0340
BWA,HIG,0.0332
BWA,HRB,0.0465
BWA,HST,0.0152
BWA,IBM,0.0209
BWA,INTU,0.0257
BWA,JPM,0.0350
BWA,L,0.0145
BWA,LLY,0.0337
BWA,MA,0.0492
BWA,MAR,0.0383
BWA,MAS,0.0448
BWA,MET,0.0239
BWA,MMC,0.0485
BWA,MPC,0.0285
BWA,NFLX,0.0498
BWA,NSC,0.0470
BWA,NWSA,0.0370
BWA,OI,0.0483
BWA,OKE,0.0422
BWA,ORLY,0.0432
BWA,PCAR,0.0388
BWA,PGR,0.0433
BWA,PNC,0.0450
BWA,PRU,0.0107
BWA,PSX,0.0076
BWA,R,0.0409
BWA,ROP,0.0290
BWA,ROST,0.0152
BWA,RSG,0.0458
BWA,S,0.0242
BWA,SLM,0.0154
BWA,SUN,0.0120
BWA,TJX,0.0415
BWA,TRV,0.0146
BWA,UNP,0.0195
BWA,V,0.0432
BWA,VLO,0.0440
BWA,VZ,0.0469
BWA,WFC,0.0267
BWA,WM,0.0312
BWA,WMB,0.0381
BXP,KIM,0.0201
BXP,MET,0.0159
C,DOV,0.0263
C,HUM,0.0218
C,STI,0.0016
C,VZ,0.0253
C,WM,0.0341
C,XYL,0.0114
CAH,CME,0.0361
CAH,CTSH,0.0202
CAH,CVX,0.0375
CAH,EXPE,0.0366
CAH,FAST,0.0208
CAH,INTU,0.0256
CAH,MOS,0.0436
CAH,NBR,0.0137
CAH,ORLY,0.0341
CAH,S,0.0293
CAH,SNA,0.0086
CAH,UNP,0.0203
CAT,DHR,0.0437
CAT,DVA,0.0167
CAT,FFIV,0.0198
CAT,HRB,0.0457
CAT,HUM,0.0005
CAT,L,0.0296
CAT,LOW,0.0338
CAT,MAS,0.0248
CAT,PAYX,0.0277
CAT,RL,0.0183
CAT,RSG,0.0352
CAT,STI,0.0365
CB,DHR,0.0060
CB,FLR,0.0152
CB,GD,0.0353
CB,HRB,0.0018
CB,IBM,0.0467
CB,OI,0.0277
CB,OKE,0.0320
CB,PGR,0.0287
CB,STI,0.0254
CB,UPS,0.0382
CCI,CPB,0.0138
CCI,GILD,0.0138
CCI,HOG,0.0417
CCI,IVZ,0.0124
CCI,NE,0.0447
CCL,EXPD,0.0053
CCL,FDX,0.0128
CCL,MOS,0.0438
CCL,PFE,0.0155
CCL,SNA,0.0155
CHRW,NEM,0.0428
CHRW,WEC,0.0214
CI,DHR,0.0164
CI,EMR,0.0388
CI,FIS,0.0145
CI,GD,0.0179
CI,HUM,0.0366
CI,MET,0.0427
CI,PRU,0.0098
CI,VRSN,0.0027
CI,WU,0.0458
CI,XRAY,0.0364
CINF,CMI,0.0219
CINF,DHR,0.0117
CINF,DTE,0.0447
CINF,DUK,0.0131
CINF,EBAY,0.0149
CINF,EMN,0.0132
CINF,EQR,0.0168
CINF,FIS,0.0207
CINF,HRB,0.0354
CINF,IRM,0.0436
CINF,MS,0.0360
CINF,MTB,0.0361
CINF,OKE,0.0283
CINF,PBI,0.0224
CINF,PGR,0.0435
CINF,PSA,0.0397
CINF,STI,0.0499
CINF,VRSN,0.0461
CL,EMN,0.0465
CL,GS,0.0125
CL,IP,0.0383
CL,KMI,0.0294
CL,OKE,0.0262
CL,THC,0.0489
CLF,TRIP,0.0206
CLX,HAL,0.0179
CLX,MDT,0.0286
CMA,IVZ,0.0479
CMA,KEY,0.0478
CMA,PFG,0.0004
CMA,STT,0.0380
CMA,USB,0.0426
CMA,WAT,0.0485
CMCSA,CPB,0.0193
CMCSA,CSCO,0.0300
CMCSA,CVX,0.0449
CMCSA,DGX,0.0445
CMCSA,GPC,0.0105
CMCSA,MAT,0.0457
CMCSA,SEE,0.0187
CME,GNW,0.0095
CME,GPC,0.0344
CME,PFE,0.0369
CME,TE,0.0183
CMG,DELL,0.0262
CMG,HUM,0.0399
CMG,IR,0.0202
CMG,MU,0.0119
CMG,NBR,0.0399
CMG,WDC,0.0425
CMI,DHR,0.0050
CMI,DTE,0.0349
CMI,EBAY,0.0253
CMI,EMN,0.0096
CMI,EQR,0.0232
CMI,FIS,0.0112
CMI,GS,0.0179
CMI,HIG,0.0067
CMI,HUM,0.0068
CMI,KR,0.0122
CMI,NRG,0.0403
CMI,OKE,0.0412
CMI,STI,0.0116
CMS,DTE,0.0125
CMS,EBAY,0.0210
CMS,FE,0.0000
CMS,GLW,0.0431
CMS,JCI,0.0366
CMS,KO,0.0229
CMS,LMT,0.0026
CMS,MO,0.0232
CMS,PBI,0.0292
CMS,PM,0.0045
CMS,PPL,0.0002
CMS,TXN,0.0095
CMS,VTR,0.0431
CNP,CNX,0.0475
CNP,COF,0.0428
CNP,COP,0.0416
CNP,COST,0.0406
CNP,CPB,0.0446
CNP,CRM,0.0489
CNP,CSCO,0.0454
CNP,CTAS,0.0442
CNP,CTSH,0.0428
CNP,CVS,0.0419
CNP,D,0.0467
CNP,DD,0.0310
CNP,DE,0.0438
CNP,DELL,0.0311
CNP,DGX,0.0336
CNP,DHI,0.0469
CNP,DHR,0.0430
CNP,DIS,0.0453
CNP,DOV,0.0346
CNP,DOW,0.0368
CNP,DV,0.0286
CNP,DVA,0.0377
CNP,DVN,0.0489
CNP,EA,0.0489
CNP,EBAY,0.0352
CNP,ECL,0.0428
CNP,EFX,0.0459
CNP,EL,0.0499
CNP,EMN,0.0277
CNP,EMR,0.0430
CNP,EQR,0.0469
CNP,EQT,0.0452
CNP,ETN,0.0401
CNP,EW,0.0297
CNP,EXPD,0.0412
CNP,EXPE,0.0486
CNP,F,0.0477
CNP,FAST,0.0489
CNP,FCX,0.0061
CNP,FFIV,0.0483
CNP,FHN,0.0441
CNP,FIS,0.0366
CNP,FITB,0.0436
CNP,FLR,0.0479
CNP,FLS,0.0422
CNP,FMC,0.0487
CNP,FOSL,0.0491
CNP,FSLR,0.0106
CNP,FTI,0.0466
CNP,GCI,0.0310
CNP,GD,0.0438
CNP,GE,0.0369
CNP,GIS,0.0448
CNP,GLW,0.0291
CNP,GME,0.0109
CNP,GOOG,0.0419
CNP,GS,0.0352
CNP,GWW,0.0469
CNP,HAL,0.0482
CNP,HAS,0.0456
CNP,HBAN,0.0443
CNP,HD,0.0478
CNP,HIG,0.0419
CNP,HOG,0.0467
CNP,HON,0.0050
CNP,HP,0.0444
CNP,HPQ,0.0204
CNP,HRB,0.0471
CNP,HRL,0.0489
CNP,HUM,0.0350
CNP,IBM,0.0471
CNP,ICE,0.0453
CNP,IFF,0.0186
CNP,INTC,0.0465
CNP,INTU,0.0492
CNP,IP,0.0384
CNP,IPG,0.0428
CNP,IR,0.0421
CNP,IRM,0.0441
CNP,ISRG,0.0388
CNP,IVZ,0.0316
CNP,JBL,0.0469
CNP,JCI,0.0117
CNP,JPM,0.0418
CNP,K,0.0447
CNP,KEY,0.0473
CNP,KLAC,0.0358
CNP,KMB,0.0188
CNP,KMI,0.0449
CNP,KO,0.0396
CNP,KR,0.0374
CNP,LEG,0.0392
CNP,LEN,0.0454
CNP,LLY,0.0448
CNP,LMT,0.0468
CNP,LNC,0.0474
CNP,LOW,0.0485
CNP,LRCX,0.0383
CNP,LUV,0.0487
CNP,M,0.0383
CNP,MA,0.0473
CNP,MAR,0.0462
CNP,MAS,0.0474
CNP,MAT,0.0121
CNP,MCHP,0.0208
CNP,MCK,0.0452
CNP,MCO,0.0458
CNP,MET,0.0469
CNP,MKC,0.0431
CNP,MMM,0.0400
CNP,MO,0.0436
CNP,MOS,0.0413
CNP,MPC,0.0498
CNP,MRK,0.0256
CNP,MS,0.0206
CNP,MSFT,0.0441
CNP,MSI,0.0410
CNP,MTB,0.0468
CNP,MU,0.0269
CNP,MUR,0.0333
CNP,NBR,0.0399
CNP,NDAQ,0.0443
CNP,NEE,0.0339
CNP,NEM,0.0340
CNP,NFLX,0.0379
CNP,NOC,0.0433
CNP,NOV,0.0407
CNP,NRG,0.0393
CNP,NTAP,0.0375
CNP,NTRS,0.0378
CNP,NU,0.0456
CNP,NVDA,0.0346
CNP,NWL,0.0477
CNP,NWSA,0.0462
CNP,OI,0.0480
CNP,OKE,0.0451
CNP,OMC,0.0292
CNP,ORCL,0.0397
CNP,ORLY,0.0499
CNP,OXY,0.0456
CNP,PBI,0.0386
CNP,PCAR,0.0477
CNP,PEG,0.0469
CNP,PFE,0.0488
CNP,PFG,0.0396
CNP,PG,0.0433
CNP,PGR,0.0436
CNP,PH,0.0465
CNP,PHM,0.0448
CNP,PM,0.0429
CNP,PNC,0.0453
CNP,PRGO,0.0303
CNP,PRU,0.0443
CNP,PSX,0.0494
CNP,PWR,0.0365
CNP,PX,0.0394
CNP,QCOM,0.0224
CNP,R,0.0459
CNP,RF,0.0445
CNP,RHI,0.0248
CNP,RL,0.0348
CNP,ROST,0.0441
CNP,RSG,0.0457
CNP,S,0.0445
CNP,SBUX,0.0448
CNP,SCHW,0.0343
CNP,SE,0.0146
CNP,SEE,0.0467
CNP,SHW,0.0480
CNP,SLB,0.0349
CNP,SLM,0.0376
CNP,SPG,0.0443
CNP,STI,0.0380
