Ticker 1,Ticker 2,P-Value
A,CCI,0.0475
A,CMA,0.0307
A,D,0.0348
A,FHN,0.0353
A,IFF,0.0293
A,NTRS,0.0023
A,SYY,0.0275
A,TDC,0.0427
A,TGT,0.0057
A,TSN,0.0071
AA,ADBE,0.0095
AA,AES,0.0186
AA,AKAM,0.0316
AA,CMCSA,0.0253
AA,D,0.0455
AA,FHN,0.0255
AA,JBL,0.0381
AAPL,APA,0.0386
AAPL,AVB,0.0358
AAPL,PCG,0.0071
ABT,APA,0.0419
ABT,CSX,0.0327
ABT,EFX,0.0214
ABT,HD,0.0325
ABT,HUM,0.0405
ABT,NSC,0.0117
ABT,S,0.0318
ACN,CAH,0.0111
ACN,CTSH,0.0232
ACN,EXPE,0.0183
ACN,S,0.0149
ADBE,AES,0.0215
ADBE,DVN,0.0486
ADBE,FMC,0.0231
ADBE,GPC,0.0005
ADBE,SEE,0.0244
ADI,APA,0.0002
ADI,ATI,0.0190
ADI,AVB,0.0153
ADI,BSX,0.0290
ADI,CL,0.0407
ADI,ECL,0.0331
ADI,EIX,0.0395
ADI,EQR,0.0256
ADI,LEG,0.0405
ADI,PCG,0.0297
ADI,PG,0.0311
ADI,SO,0.0138
ADI,TEL,0.0264
ADI,TER,0.0250
ADI,THC,0.0350
ADI,WHR,0.0358
ADM,AMD,0.0101
ADM,APA,0.0345
ADM,CRM,0.0057
ADM,CSX,0.0271
ADM,FAST,0.0020
ADM,GNW,0.0244
ADM,GWW,0.0046
ADM,INTU,0.0275
ADM,IR,0.0301
ADM,ITW,0.0260
ADM,L,0.0278
ADM,LEN,0.0435
ADM,MA,0.0151
ADM,MAR,0.0257
ADM,MRK,0.0470
ADM,MSFT,0.0192
ADM,ORLY,0.0219
ADM,PH,0.0490
ADM,RL,0.0463
ADM,ROP,0.0248
ADM,SNA,0.0295
ADM,SYK,0.0014
ADM,TE,0.0283
ADM,TEL,0.0439
ADM,URBN,0.0227
ADM,V,0.0013
ADP,BXP,0.0478
ADP,VNO,0.0200
ADSK,AIZ,0.0106
ADSK,ALL,0.0317
ADSK,AMP,0.0447
ADSK,AZO,0.0496
ADSK,BIIB,0.0196
ADSK,BLK,0.0345
ADSK,CB,0.0356
ADSK,COF,0.0340
ADSK,CTSH,0.0112
ADSK,DHI,0.0344
ADSK,EFX,0.0452
ADSK,FFIV,0.0023
ADSK,HD,0.0034
ADSK,HIG,0.0387
ADSK,HRB,0.0221
ADSK,IBM,0.0304
ADSK,ICE,0.0268
ADSK,L,0.0409
ADSK,MAS,0.0105
ADSK,ORLY,0.0359
ADSK,R,0.0497
ADSK,RSG,0.0456
ADSK,S,0.0119
ADSK,SHW,0.0161
ADSK,TRV,0.0255
ADSK,UNP,0.0228
ADSK,VZ,0.0241
AEE,CHRW,0.0229
AEP,DGX,0.0057
AEP,FE,0.0081
AEP,GT,0.0426
AEP,LMT,0.0167
AEP,SRE,0.0297
AES,JBL,0.0462
AES,SEE,0.0090
AFL,AVB,0.0343
AFL,FFIV,0.0447
AFL,HRB,0.0500
AFL,IRM,0.0325
AFL,PAYX,0.0101
AFL,R,0.0079
AFL,VNO,0.0390
AIG,ANF,0.0362
AIG,AVY,0.0014
AIG,BIIB,0.0208
AIG,BWA,0.0418
AIG,CI,0.0385
AIG,EMR,0.0499
AIG,HUM,0.0143
AIG,NKE,0.0386
AIG,NWSA,0.0445
AIG,OI,0.0070
AIG,TXT,0.0431
AIG,UPS,0.0194
AIG,VRSN,0.0109
AIG,WDC,0.0193
AIG,WFC,0.0427
AIG,WHR,0.0267
AIV,DTE,0.0114
AIV,JCI,0.0075
AIV,KMB,0.0255
AIV,KO,0.0372
AIV,TXN,0.0385
AIZ,BIIB,0.0090
AIZ,FFIV,0.0163
AIZ,IBM,0.0371
AIZ,L,0.0089
AIZ,MA,0.0379
AIZ,PH,0.0252
AIZ,UPS,0.0180
ALL,CB,0.0089
ALL,DHR,0.0480
ALL,GD,0.0249
ALL,SPG,0.0412
ALL,TRV,0.0136
ALL,VZ,0.0478
AMAT,AMZN,0.0045
AMAT,APA,0.0345
AMAT,CMG,0.0242
AMAT,DELL,0.0104
AMAT,ETN,0.0335
AMAT,FLS,0.0325
AMAT,HUM,0.0217
AMAT,IR,0.0308
AMAT,LEG,0.0172
AMAT,MCK,0.0023
AMAT,MOS,0.0492
AMAT,NBR,0.0416
AMAT,NFLX,0.0443
AMAT,TEL,0.0473
AMAT,URBN,0.0336
AMAT,WHR,0.0317
AMD,APA,0.0241
AMD,CMG,0.0272
AMD,CRM,0.0025
AMD,CSX,0.0264
AMD,FAST,0.0049
AMD,GWW,0.0461
AMD,ITW,0.0276
AMD,MAR,0.0182
AMD,NBR,0.0142
AMD,ORLY,0.0136
AMD,PCAR,0.0148
AMD,SYK,0.0129
AMD,URBN,0.0063
AMD,V,0.0047
AMD,VMC,0.0188
AMGN,FLR,0.0206
AMGN,HRB,0.0078
AMGN,OI,0.0001
AMGN,UPS,0.0102
AMGN,XRAY,0.0179
AMP,ANF,0.0356
AMP,APA,0.0311
AMP,APH,0.0370
AMP,AVY,0.0021
AMP,AXP,0.0401
AMP,BIIB,0.0113
AMP,CAT,0.0127
AMP,COF,0.0067
AMP,COST,0.0075
AMP,CTAS,0.0458
AMP,DELL,0.0460
AMP,DHR,0.0323
AMP,DVA,0.0109
AMP,ECL,0.0247
AMP,FFIV,0.0282
AMP,FIS,0.0416
AMP,HIG,0.0351
AMP,HRB,0.0179
AMP,HUM,0.0008
AMP,JPM,0.0225
AMP,LEG,0.0383
AMP,MAS,0.0279
AMP,NFLX,0.0042
AMP,NRG,0.0115
AMP,NTAP,0.0484
AMP,OI,0.0440
AMP,PAYX,0.0256
AMP,PGR,0.0440
AMP,R,0.0332
AMP,RL,0.0073
AMP,STI,0.0236
AMP,VRSN,0.0459
AMP,VZ,0.0466
AMT,DGX,0.0024
AMT,ETR,0.0422
AMT,FE,0.0492
AMT,KIM,0.0016
AMT,LMT,0.0173
AMT,NDAQ,0.0493
AMT,PPL,0.0353
AMT,SRE,0.0050
AMT,STT,0.0089
