Ticker 1,Ticker 2,Cointegration P-Value,Hedge Ratio
A,AIG,0.0104,-2.2040947764788457
A,AMT,0.0466,-0.5258177057956441
A,APD,0.026,0.5430395145563385
A,ED,0.0165,-1.6027452996322091
A,FLS,0.0236,1.8945590577043268
A,KO,0.0096,-2.5467631191343254
A,MET,0.0086,2.8425974833262027
A,PCAR,0.0011,1.5605695579099064
A,PNW,0.0189,-2.6629887168328463
A,QCOM,0.0436,1.047207309484271
A,STI,0.0295,1.09862869920469
A,VFC,0.0453,2.38416436752231
A,VNO,0.0186,3.6322980223643406
AA,APD,0.0308,0.2494648660047732
AA,BBY,0.0241,0.5392963798536983
AA,COP,0.0123,0.7239962054335725
AA,HAL,0.0115,1.5726398883609176
AA,HPQ,0.0181,1.2751777957363575
AA,IPG,0.0286,2.508351417276939
AA,IR,0.0471,0.5715896061728188
AA,KIM,0.0165,3.979209936710911
AA,MRK,0.0313,0.5176526456497086
AA,MUR,0.0058,1.320666807269789
AA,NBR,0.038,0.3013421090001782
AA,OMC,0.0385,0.5239581836811439
AA,PCAR,0.0052,0.7226018121305583
AA,PRU,0.0002,0.7343601828169318
AAPL,AMT,0.0229,-0.8203107963298096
AAPL,CA,0.0023,46.46725923332397
AAPL,HD,0.039,0.570223331188576
AAPL,KO,0.0415,-2.8016582139315185
AAPL,M,0.0007,7.81428406413912
AAPL,SPG,0.0479,1.4946674914861768
AAPL,TER,0.0028,0.7591978362367889
ABT,ANF,0.0177,-0.2497968891221809
ABT,CMCSA,0.0366,-2.112014895403152
ABT,DGX,0.0265,0.6688888075303657
ABT,DHR,0.0145,-0.29489454382333874
ABT,EIX,0.018,-0.6250558551531302
ABT,FMC,0.0264,-0.8290667704185709
ABT,GILD,0.0455,0.6816971334923578
ABT,MMM,0.0259,0.6441935737431417
ABT,MRK,0.034,-0.7531536123715169
ABT,NWL,0.0355,-3.625615110547509
ABT,PCG,0.0367,-2.9168551207637186
ABT,PRU,0.049,-0.8493088298019822
ABT,STI,0.0439,-0.732653992741717
ABT,STZ,0.022,-0.2335939328493238
ABT,TDC,0.0161,-1.5152912593115777
ACN,AVB,0.0155,3.442526136533885
ACN,L,0.0225,-6.676728439575356
ADBE,AVB,0.001,4.572979875275794
ADBE,CMCSA,0.0402,16.35196176207808
ADBE,EQR,0.004,16.81383253480019
ADBE,EXC,0.0499,-15.138536438947153
ADBE,PRU,0.0441,6.641098958632377
ADBE,S,0.0054,15.074324185345573
ADBE,T,0.0366,-17.001523890036957
ADBE,WY,0.042,21.10245684039296
ADI,BBBY,0.0314,6.542518486333505
ADI,CCL,0.0341,3.21567326677449
ADI,D,0.0217,4.642735255580969
ADI,EL,0.0375,1.185484814967191
ADI,EXPD,0.0458,2.5823659258240754
ADI,GNW,0.0492,18.092102368125964
ADI,HAS,0.0304,1.8245377826386568
ADI,MPC,0.0141,0.9415255354554646
ADI,MU,0.0315,0.7690013003607199
ADI,NSC,0.0002,0.6881332382373658
ADI,NVDA,0.0411,0.637266129299577
ADI,ORCL,0.0343,0.31730366823117795
ADI,ROK,0.0477,0.4097439573291719
ADI,STX,0.0391,0.39182697525201465
ADI,TAP,0.0232,-2.7862445067015367
ADI,THC,0.0229,0.648183586925856
ADI,VLO,0.0389,1.1167369807336844
ADI,WYNN,0.0479,1.0752285795014538
ADI,XYL,0.0389,1.5980466910218205
ADM,BLK,0.0326,0.051901615567028714
ADM,BWA,0.0104,1.0379877970438718
ADM,CAT,0.0432,0.10575297347522533
ADM,D,0.0181,1.5313212000727612
ADM,F,0.0415,4.9462763175207005
ADM,GD,0.0104,0.19223161337912784
ADM,GNW,0.0181,6.273610241679451
ADM,GPC,0.0408,0.47456430390753007
ADM,MKC,0.0467,-0.7703681789947165
ADM,NSC,0.0428,0.20124644198883795
ADM,NVDA,0.0028,0.1817776563191258
ADM,ORCL,0.0174,0.09520146294431839
ADM,SYY,0.0431,1.1709706185099265
ADM,TEL,0.0442,0.16501942125665506
ADP,AFL,0.0098,-0.7447366234253927
ADP,AKAM,0.0128,-0.4343998921305998
ADP,AMAT,0.0466,-0.07771425894849937
ADP,AMT,0.0323,0.14621200523880126
ADP,ANF,0.0194,-0.16782725811937582
ADP,APD,0.0337,-0.07735814461304118
ADP,AVB,0.0324,-0.17103055889253455
ADP,BA,0.0364,0.17751083813101648
ADP,BBT,0.0444,-0.34123889496013415
ADP,BBY,0.0373,-0.4244498434969872
ADP,BDX,0.0058,-0.23314643245378516
ADP,BEAM,0.022,-0.6973185560676192
ADP,BIIB,0.0181,-0.2862263399170352
ADP,BMY,0.0298,-0.5495596507076603
ADP,BSX,0.0286,0.988231741872597
ADP,BTU,0.0225,-1.069102374992541
ADP,BXP,0.017,-0.6180658806900904
ADP,CAG,0.0444,-1.4735385041976339
ADP,CAH,0.034,0.36433326531790255
ADP,CAT,0.0495,-0.009916167412238303
ADP,CCI,0.0495,0.04847453832582084
ADP,CF,0.0365,0.48065173369270514
ADP,CHRW,0.039,-0.1578072243597372
ADP,CLX,0.0228,-0.30073745021125287
ADP,CMCSA,0.0275,-1.1303171646160113
ADP,CME,0.0204,0.27650407982394415
ADP,CMG,0.0456,-0.2868465535973839
ADP,CNX,0.0353,-0.5638148803295983
ADP,COP,0.0134,-0.6664562756783848
ADP,COST,0.0074,0.16119009013313776
ADP,CPB,0.0166,-1.1769071680861187
ADP,CRM,0.0386,-0.039890411988968685
ADP,CTAS,0.0451,0.5658423201660521
ADP,CVX,0.0482,-0.04159778370319006
ADP,DD,0.0286,-0.47677665903863586
